Date,Open,High,Low,Close,Volume
2012-01-04,727.22,731.54,725.16,726.99,684660
2012-01-05,726.45,730.39,723.5,727.12,827350
2012-01-06,725,728.96,723.79,725.69,798070
2012-01-09,723.76,732.21,723.13,732.21,718550
2012-01-10,734.53,740.07,733.9,738.13,882740
2012-01-11,737.61,742.21,735.56,736.14,704690
2012-01-12,737.54,739.45,734.33,735.88,610050
2012-01-13,735.45,736.95,727.55,730.4,743620
2012-01-16,725.57,726.47,722.68,724.43,519170
2012-01-17,729.48,740.03,728.3,740.03,680140
2012-01-18,739.61,741.74,735.29,735.37,910770
2012-01-19,740.5,742.82,736.36,740.6,712540
2012-01-20,742.19,743.13,737.58,739.56,648330
2012-01-23,739.92,744.98,739.21,741.67,382160
2012-01-24,744.26,748.81,742.95,742.95,769600
2012-01-25,745.71,746.25,735.99,736.69,514000
2012-01-26,740.54,746.52,740.1,745.81,549610
2012-01-27,748.94,753.48,746.86,752.18,833570
2012-01-30,751.83,755.36,749.14,750.95,1260000
2012-01-31,755,757.45,749.26,757.45,822470
2012-02-01,756.55,760.08,753.02,759.16,1790000
2012-02-02,763.43,769.03,762.25,763.4,1210000
2012-02-03,765.41,769.42,761.94,768.96,1070000
2012-02-06,774.3,775.68,765.82,765.82,935420
2012-02-07,767.68,772.13,764.11,770.95,982840
2012-02-08,776.32,787.15,776.21,783.39,1400000
2012-02-09,784.24,787.65,779.31,784.72,1260000
2012-02-10,783.17,787.1,779.57,781.21,815650
2012-02-13,782.79,786.57,781.09,784.08,762890
2012-02-14,781.86,787.35,773.24,776.12,1240000
2012-02-15,782.11,793.21,782.11,791.85,2050000
2012-02-16,790.17,792.38,784.75,787.13,1360000
2012-02-17,796.21,797.02,789.13,794.86,1150000
2012-02-20,799.6,801.66,796.53,800.22,1400000
2012-02-21,802.46,806.04,799.97,803.66,1020000
2012-02-22,806.61,809.71,801.38,801.59,5850000000
2012-02-23,802.97,805.36,795.03,803.61,976320000
2012-02-24,806.13,809.32,804.66,808.27,698350000
2012-02-27,809.13,810.04,797.64,799.19,701400000
