Date,Open,High,Low,Close
1/22/2013,963.89001,971.5,959.84998,960.21997
1/23/2013,965.32001,967.65997,953.40002,965.23999
1/24/2013,970.41998,972.29999,963.15002,969.81
1/25/2013,971.13,978.98999,970.08002,977.53003
1/28/2013,981.33002,985.47998,978.37,984.52002
1/29/2013,986.83002,990.78003,982.42999,989.91998
1/30/2013,993.40002,1001.97,990.14001,1000.25
1/31/2013,997.21997,1000.59,985.87,988.21002
2/1/2013,993.32001,1005.52,992.01001,1005.09
2/4/2013,1011.58,1014.12,1006.84,1009.27
2/5/2013,1000.9,1010.86,999.97998,1007.88
2/6/2013,1008.47,1009.72,1000.04,1001.02
2/7/2013,997.95001,1002.63,988.59003,999.92999
2/8/2013,999.08002,1005.56,994.67999,995.90002
2/11/2013,997.75,998.59003,986.17999,986.17999
2/12/2013,984.53998,990.07001,982.12,983.67999
2/13/2013,989.51001,1004.14,989.46002,1004.05
2/14/2013,1009.8,1013.06,1005.25,1012.43
2/15/2013,1009.92,1011.09,1001.91,1006.06
2/18/2013,1006.91,1010.21,1003.58,1004.82
2/19/2013,1007.87,1013.12,1005.52,1011.33
2/20/2013,1016.16,1021.59,1013.48,1021.05
2/21/2013,1013.92,1016.08,1005.62,1007.13
2/22/2013,1006.06,1016.86,1005.19,1014.25
2/26/2013,1011.98,1012.78,999.94,1004.67
2/27/2013,1007.75,1009.74,994.37,994.37
2/28/2013,1002.02,1014.03,996.90997,1014.03
3/1/2013,1015.48,1020.35,1010.77,1013.15
3/4/2013,1013.8,1016.38,1007.79,1014.2
3/5/2013,1021.47,1023.53,1016.49,1018.94
3/6/2013,1025.15,1026.51,1020.77,1024.14
3/7/2013,1024.64,1025.61,1018.73,1022.64
3/8/2013,1029.83,1031.3101,1022.68,1025.72
3/11/2013,1029.98,1035.21,1027.51,1032.33
3/12/2013,1035.11,1037.14,1028.02,1032.74
3/13/2013,1033.34,1035.8,1027.74,1033.34
3/14/2013,1031.59,1038.59,1028.59,1038.12
3/15/2013,1044.45,1046.88,1040.6801,1045.26
3/18/2013,1038.1801,1043.78,1037.04,1041.27
3/19/2013,1045.86,1047.64,1021.25,1029.4399
3/20/2013,1029.96,1030.86,1012.07,1016.01
3/21/2013,1018.36,1019.66,1005.11,1008.14
3/22/2013,1003.43,1007.47,971.25,977.03998
3/25/2013,987.28998,1004.66,984.44,1002.43
3/26/2013,1002.53,1018.49,997.63,1015.99
3/27/2013,1021.61,1032.72,1020.81,1025.96
3/28/2013,1022.91,1025.95,1012.06,1014.98
3/29/2013,1021.29,1029.33,1020.78,1024.92
4/1/2013,1024.99,1025.3101,1016.9,1017.35
4/2/2013,1020,1024.49,1012.04,1021.89
4/3/2013,1027.22,1030.26,1003.4,1004.67
4/4/2013,982.65997,1010.71,980.90997,1010.71
4/5/2013,1000.06,1001.92,980.14001,982.47998
4/9/2013,985.85999,986.63,968.90002,971.40997
4/10/2013,975.03998,984.77002,962.04999,984.77002
4/11/2013,991.66998,1002.08,984.54999,1002.02
4/12/2013,1003.52,1010.6,999.41998,1007.45
4/17/2013,1005.11,1015.62,1001.27,1003.73
4/18/2013,1003.23,1009.05,994.48999,1008.83
4/19/2013,1012.14,1022.82,1009.19,1018.36
4/22/2013,1027.66,1028.66,1017.66,1027.92
4/23/2013,1025.61,1031.38,1018.81,1021.18
4/24/2013,1026,1029.3199,1021.68,1024.9399
4/25/2013,1026.64,1040.12,1025.54,1039.46
4/26/2013,1044.99,1048.6899,1039.59,1044.8199
4/29/2013,1049.61,1051.96,1039.4399,1046.12
4/30/2013,1051.99,1055.62,1046.08,1055.62
5/2/2013,1058.74,1059.98,1049.64,1050.48
5/3/2013,1054.92,1056.83,1040.99,1042.7
5/7/2013,1049.4301,1061.37,1038.83,1061.37
5/8/2013,1066.6801,1076.58,1064.76,1071.05
5/9/2013,1073.77,1079.77,1067.7,1075.95
5/10/2013,1076.64,1079.54,1070.14,1076.13
5/13/2013,1074.9399,1077.9301,1065.12,1071.6801
5/14/2013,1073.3,1079.77,1072.37,1074.35
5/15/2013,1080.46,1084.09,1078.51,1081.13
5/16/2013,1083.05,1084.8101,1067.9,1072.89
5/17/2013,1070.4301,1083.13,1067.09,1079.78
5/20/2013,1086.04,1094.62,1085.41,1092.27
5/21/2013,1093.3101,1096.29,1088.24,1091.2
5/22/2013,1089.41,1094.6,1081.2,1081.6899
5/23/2013,1075.66,1079.6801,1048.25,1064.49
5/27/2013,1057.67,1058.02,1047.8199,1053.5
5/28/2013,1053.45,1072.5699,1052.52,1072.5699
5/29/2013,1070.85,1075.9301,1056.9301,1058.59
5/30/2013,1048.9,1056.26,1041.47,1044.4
5/31/2013,1049.86,1054.27,1024.14,1029.01
6/3/2013,1025.8199,1032.75,1012.13,1015.37
6/4/2013,1019.41,1029.97,1005.27,1028.91
6/5/2013,1022.27,1024.1801,1005.65,1005.65
6/6/2013,997.20001,999.82001,983.87,989
6/7/2013,985.29999,1008.31,984.48999,1007.39
6/10/2013,1018.07,1023.03,1012.23,1014.27
6/11/2013,1006.4,1006.81,958.82001,962.72998
6/12/2013,950.73999,969.52002,942.5,950.87
6/13/2013,917.90997,944.58002,903.23999,938.26001
6/14/2013,964.89001,979.08002,962.14001,978.87
6/17/2013,982.57001,985.27002,966.77002,982.15997
6/18/2013,980.64001,997.14001,950.53003,950.53003
6/19/2013,962.22998,966.09998,942.29999,960.32001
6/20/2013,932.01001,944.23999,927.56,937.44
6/21/2013,921.76001,945.85999,907.92999,940.65002
6/24/2013,932.75,943.78003,916.54999,916.54999
6/25/2013,923.72998,941.53003,899.82001,934.23999
6/26/2013,945.77002,963.07001,937.81,961.97998
6/27/2013,981.25,989.45001,958.04999,978.96002
6/28/2013,992.15997,994.32001,978.21997,982.98999
7/2/2013,992.28003,1000.2,983.65002,992
7/3/2013,984.84003,992.06,969.34998,977
7/4/2013,981.96002,984.40002,964.01001,969
7/5/2013,978.21997,980.64001,969.26001,977.53003
7/8/2013,965.5,970.15002,952.14001,952.19
7/9/2013,954.46002,963.5,948.46997,949.10999
7/10/2013,951.65002,955.69,936.62,946.65997
7/11/2013,962.40997,989.21997,961.67999,989.21997
7/12/2013,993.96997,997.48999,984,991.59998
7/15/2013,999.20001,999.53003,986.02002,989.98999
7/16/2013,987.71002,990.10999,975.10999,986.45001
7/17/2013,991.46002,995.96997,986.21002,991.40997
7/18/2013,995.59998,1011.41,994.47998,1010.46
7/19/2013,1011.56,1011.68,1000.5,1004.94
7/23/2013,1019.6,1027.39,1015.78,1027.39
7/24/2013,1026,1030.2,1014.77,1017.9
7/25/2013,1012.12,1013.16,987.38,987.41998
7/26/2013,991.02002,1002.93,979.98999,1002.93
7/29/2013,991.42999,992.46002,983.71997,986.13
7/30/2013,989.77002,994.44,971.41998,971.84998
7/31/2013,972.71002,973.39001,950.19,966.03003
8/1/2013,977,982.59003,967.22998,977.46997
8/2/2013,979.06,980.65997,956.64001,966.97998
8/5/2013,963.98999,973.03003,956.15002,970.19
8/6/2013,960.71002,981.91998,958.45001,973.34003
8/7/2013,966.20001,977.09998,963.84998,972.45001
8/8/2013,979.25,990.35999,978.59998,983.96002
8/9/2013,982.34998,982.59003,969.07001,969.70001
8/13/2013,977.87,989.85999,976.77002,989.85999
8/14/2013,987.88,993.13,985.16998,992.97998
8/15/2013,991.21997,993.37,982.92999,986.83002
8/16/2013,978.04999,986.17999,977.46997,981.08002
8/19/2013,974.72998,975.58002,947.70001,947.70001
8/20/2013,934.71997,935.88,917.09998,931.46997
8/21/2013,919.67999,932.88,917.98999,918.82001
8/22/2013,908.92999,922.73999,898.52002,919.82001
8/23/2013,932.16998,933.34998,908.58002,908.96997
8/26/2013,916.89001,922.14001,902.91998,903.46997
8/27/2013,897.88,898.94,880.71997,883.90002
8/28/2013,869.63,888,861.96997,873.62
8/29/2013,878.46002,886.76001,870.92999,885.07001
8/30/2013,891.07001,891.51001,876.90997,882.97998
9/2/2013,886.37,903.5,883.75,903.5
9/3/2013,902.40997,910.34998,894.81,898.13
9/4/2013,894.57001,900.52002,887.77002,889.33002
9/5/2013,893.48999,906.88,891.07001,897.31
9/6/2013,898.14001,914.72998,895.60999,913.56
9/9/2013,927.07001,951.34998,926.10999,951.34998
9/10/2013,958.48999,972.78998,950.22998,957.77002
9/11/2013,958.40997,970.41998,946.85999,970.21002
9/12/2013,971.35999,977.17999,956.70001,956.70001
9/13/2013,949.97998,968.34003,948.79999,957.25
9/16/2013,979.25,989.53003,978.52002,989.37
9/17/2013,988.25,992.52002,982.14001,988.56
9/18/2013,987.38,993.03998,977.34998,982.42999
9/19/2013,1017.26,1023.56,1012.11,1019.09
9/20/2013,1014.36,1018.72,1008.02,1017.3
9/23/2013,1006.56,1007.03,979.85999,983.20001
9/24/2013,979.03003,986.31,967.53003,968.70001
9/25/2013,971,982.96002,964.59003,982.96002
9/26/2013,973.21002,985.46002,972.51001,973.13
9/27/2013,979.29999,981.39001,964.39001,967.51001
9/30/2013,953.89001,954.31,939.85999,940.88
10/1/2013,945.59003,962.34003,939.42999,959.71002
10/2/2013,960.42999,964.70001,953.54999,959.28998
10/3/2013,966.44,977.89001,965.91998,974.65997
10/4/2013,969.79999,975.84003,966.28998,973.12
10/7/2013,970.57001,976.52002,962.29999,962.87
10/8/2013,962.90997,981.53998,959.78998,978.53003
10/9/2013,979.87,980.75,973.29999,979.02002
10/10/2013,981.20001,995,979.84003,991.91998
10/11/2013,1004.42,1005.07,992.88,996.01001
10/14/2013,990.15997,998.41998,984.19,997.22998
10/15/2013,1004.08,1009.38,1001.28,1006.65
10/16/2013,1005.22,1010.44,999.59003,999.59003
10/17/2013,1003.47,1011.19,997.75,1002.85
10/18/2013,1008.58,1014.87,1003.93,1014.42
10/21/2013,1013.57,1014.28,986.25,988.5
10/22/2013,987.13,994.70001,981.16998,994.70001
10/24/2013,986.34003,1001.3,984.67999,1001.3
10/25/2013,999.46997,999.77002,989.83002,992.01001
10/28/2013,995.08002,998.54999,984.46997,988.57001
10/29/2013,988.15997,993.63,985.33002,992.83002
10/30/2013,993.21002,993.71997,973.87,977.09003
10/31/2013,971.41998,987.06,968.53003,987.06
11/1/2013,977.53998,980.08002,971.46002,977.27002
11/4/2013,965.42999,965.78003,949.10999,949.84003
11/5/2013,954.96997,969.48999,954.25,967.40997
11/6/2013,969.79999,983.65002,962.40002,982.60999
11/7/2013,980.48999,986.31,971.77002,975.96997
11/8/2013,968.53998,968.95001,955.21997,960.67999
11/11/2013,944.71997,964.46997,941.84003,962.39001
11/12/2013,970.03998,974.20001,963.65002,965.95001
11/13/2013,958.73999,965.89001,956.85999,957.5
11/14/2013,962.46002,971.10999,961.87,966.27002
11/15/2013,973.12,975.48999,965.77002,971.07001
11/18/2013,977.78003,978.67999,972.34003,974.15997
11/19/2013,972.28998,972.79999,963.46002,966.06
11/20/2013,967.92999,972.67999,957.31,960.65997
11/21/2013,952.46002,953.20001,939.03998,940.40997
11/22/2013,937.53003,941.76001,924.63,927.07001
11/25/2013,918.12,928.65997,917.23999,923.29999
11/26/2013,919.53998,934.71002,918.07001,927.54999
11/27/2013,924.96002,938.51001,924.03998,937.53003
11/28/2013,940.56,942.25,924.82001,927.28998
11/29/2013,924.34003,935.83002,920.70001,935.21997
12/2/2013,926.73999,939.59003,921.06,938.79999
12/3/2013,938.23999,952.77002,937.46002,945.88
12/4/2013,943.32001,949.81,939.41998,939.41998
12/6/2013,936.76001,939.51001,923.09998,928.97998
12/9/2013,935.97998,942.04999,925.08002,934.34003
12/11/2013,929.81,937.28003,929.39001,935.78998
12/12/2013,931.53998,934.96002,925.03003,925.03003
12/13/2013,923.87,926.03003,909.98999,912.95001
12/16/2013,909.98999,911.10999,902.10999,904.51001
12/17/2013,910.15997,914.23999,908.73999,911.88
12/18/2013,915.51001,925.25,914.71002,922.32001
12/19/2013,922.46002,925.26001,916.5,919.45001
12/20/2013,918.71997,919.21997,907.91998,916.83002
12/23/2013,916.15997,917.10999,901.40997,904.57001
12/24/2013,900.85999,911.41998,900.09998,905.31
12/25/2013,906.40997,910.10999,904.77002,909.59998
